topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_IL15	50	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Syngeneic CAR T cells engineered for persistent delivery of desired proteins.	10.1016/j.jconrel.2025.113960	40523481	https://pubmed.ncbi.nlm.nih.gov/40523481/	IL-15
core_armored_CART_IL15	64	1	core_self_secreting_or_armored_cytokine_cart	56	2024	CD70-specific CAR NK cells expressing IL-15 for the treatment of CD19-negative B-cell malignancy	10.1182/bloodadvances.2023012202		https://doi.org/10.1182/bloodadvances.2023012202	IL-15
core_armored_CART_IL15	69	1	core_self_secreting_or_armored_cytokine_cart	56	2023	Engineering NK-CAR.19 cells with the IL-15/IL-15Rα complex improved proliferation and anti-tumor effect in vivo	10.3389/fimmu.2023.1226518		https://doi.org/10.3389/fimmu.2023.1226518	IL-15
core_armored_CART_IL15	76	1	core_self_secreting_or_armored_cytokine_cart	56	2021	Treatment of Aggressive T Cell Lymphoblastic Lymphoma/leukemia Using Anti-CD5 CAR T Cells	10.1007/s12015-020-10092-9		https://doi.org/10.1007/s12015-020-10092-9	IL-15
core_armored_CART_IL15	79	1	core_self_secreting_or_armored_cytokine_cart	56	2020	Inducible MyD88/CD40 synergizes with IL-15 to enhance antitumor efficacy of CAR-NK cells	10.1182/bloodadvances.2020001510		https://doi.org/10.1182/bloodadvances.2020001510	IL-15
core_armored_CART_IL2	25	1	core_self_secreting_or_armored_cytokine_cart	57	2026	Development of human B7H3/IL13Ra2 bispecific armored CAR-T for treatment of glioblastoma.	10.1200/jco.2026.44.16_suppl.2056		https://www.semanticscholar.org/paper/d8c515f5149ca7b4e91cdb7cffa789e8d4d04f05	IL-2
core_armored_CART_IL2	29	1	core_self_secreting_or_armored_cytokine_cart	57	2023	Association of CAR-T cell secreting CD47 blocking protein with an enhanced antitumor activity in small cell lung cancer.	10.1200/jco.2023.41.16_suppl.e20512		https://www.semanticscholar.org/paper/4665138a15e0eceaf1b371134d6e358c47f40e9b	IL-2
core_armored_CART_IL2	43	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Cytokine receptor armored CAR-T cells enable robust T cell expansion and function in the absence of lymphodepletion	10.1182/blood-2025-4104		https://doi.org/10.1182/blood-2025-4104	IL-2
core_armored_CART_IL2	81	1	core_self_secreting_or_armored_cytokine_cart	56	2013	Chimeric antigen receptor (CAR<sup>+</sup>) modified T cells targeting prostate-specific membrane antigen (PSMA) in patients (pts) with castrate metastatic prostate cancer (CMPC).	10.1200/jco.2013.31.6_suppl.72		https://doi.org/10.1200/jco.2013.31.6_suppl.72	IL-2
core_armored_CART_IL2	82	1	core_self_secreting_or_armored_cytokine_cart	56	2013	Chimeric antigen receptor (CAR<sup>+</sup>) modified T cells targeting prostate specific membrane antigen (PSMA) in patients (pts) with castrate metastatic prostate cancer (CMPC).	10.1200/jco.2013.31.15_suppl.tps3115		https://doi.org/10.1200/jco.2013.31.15_suppl.tps3115	IL-2
core_armored_CART_IL2	84	1	core_self_secreting_or_armored_cytokine_cart	55	2025	Abstract LB360: Discovery and development of fully human IL13Ra2/B7H3 bispecific armored CAR-T for treatment of glioblastoma	10.1158/1538-7445.am2025-lb360		https://www.semanticscholar.org/paper/e9d539cbc1a4ebcdd10de1398175301cd8bb58cb	IL-2
engineered_T_cell_support_IL12	107	2	cytokine_engineered_t_cell_support	45	2022	Oncolytic herpes simplex virus delivery of dual CAR targets of CD19 and BCMA as well as immunomodulators to enhance therapeutic efficacy in solid tumors combined with CAR T cell therapy.	10.1007/s00432-021-03613-7	36353540	https://pubmed.ncbi.nlm.nih.gov/36353540/	IL-12
engineered_T_cell_support_IL12	114	2	cytokine_engineered_t_cell_support	44	2026	Arming oncolytic herpes simplex virus with CXCL-11, IL-12 and a single-chain antibody against PD-1 to enhance CAR-T cell therapy in pancreatic ductal adenocarcinoma.	10.1038/s41467-024-47799-z	41935032	https://pubmed.ncbi.nlm.nih.gov/41935032/	IL-12
engineered_T_cell_support_IL12	115	2	cytokine_engineered_t_cell_support	44	2026	T Cell Glycoengineering to Modulate Immune-Tumor Crosstalk: A Universal Non-Genetic Strategy for Enhanced Tumor Immunotherapy.	10.1002/advs.202505387	41355605	https://pubmed.ncbi.nlm.nih.gov/41355605/	IL-12
engineered_T_cell_support_IL12	120	2	cytokine_engineered_t_cell_support	44	2025	Onboard, tethered IL-12 boosts potency of the Tmod NOT gate and preserves selectivity.	10.1021/acssynbio.5b00266	40404208	https://pubmed.ncbi.nlm.nih.gov/40404208/	IL-12
engineered_T_cell_support_IL12	127	2	cytokine_engineered_t_cell_support	44	2024	IL-12 encoding oNDV synergizes with CAR-T cells in orthotopic models of non-small cell lung cancer.	10.12688/f1000research.7563.2	39624055	https://pubmed.ncbi.nlm.nih.gov/39624055/	IL-12
engineered_T_cell_support_IL12	129	2	cytokine_engineered_t_cell_support	44	2023	Functional diversification and dynamics of CAR-T cells in patients with B-ALL.	10.1016/j.celrep.2023.113263	37851569	https://pubmed.ncbi.nlm.nih.gov/37851569/	IL-12
engineered_T_cell_support_IL12	130	2	cytokine_engineered_t_cell_support	44	2023	Hypoxia-regulated secretion of IL-12 enhances antitumor activity and safety of CD19 CAR-T cells in the treatment of DLBCL.	10.1038/nbt887	37663131	https://pubmed.ncbi.nlm.nih.gov/37663131/	IL-12
engineered_T_cell_support_IL12	131	2	cytokine_engineered_t_cell_support	44	2023	Antigen-dependent IL-12 signaling in CAR T cells promotes regional to systemic disease targeting.	10.1038/s41467-023-40115-1	37550294	https://pubmed.ncbi.nlm.nih.gov/37550294/	IL-12
engineered_T_cell_support_IL12	132	2	cytokine_engineered_t_cell_support	44	2023	Antigen-dependent IL-12 signaling in CAR T cells promotes regional to systemic disease targeting.	10.1101/2023.01.06.522784	36711615	https://pubmed.ncbi.nlm.nih.gov/36711615/	IL-12
engineered_T_cell_support_IL12	155	2	cytokine_engineered_t_cell_support	44	2020	Anti-EGFR CAR-transduced IL-12-expressing T-lymphocytes	10.32388/f7zfm4		https://doi.org/10.32388/f7zfm4	IL-12
engineered_T_cell_support_IL12	158	2	cytokine_engineered_t_cell_support	43	2026	Abstract 5195: Next-generation CAR-T cells that target only tumor stroma and matrix: Collagen-binding IL-12-expressing FAP-CAR-T show strong anti-tumor efficacy but are safe	10.1158/1538-7445.am2026-5195		https://doi.org/10.1158/1538-7445.am2026-5195	IL-12
engineered_T_cell_support_IL12	159	2	cytokine_engineered_t_cell_support	42	2026	Autocrine activity of engineered IL-33 mRNA enhances adoptive T-cell therapy for peritoneal carcinomatosis and synergizes with IL-12 mRNA.	10.7150/thno.122132	41608588	https://pubmed.ncbi.nlm.nih.gov/41608588/	IL-12
engineered_T_cell_support_IL15	100	2	cytokine_engineered_t_cell_support	45	2026	Spatiotemporal profiling reveals distinct dynamics and checkpoint regulations of CAR-T and CAR-NKT cells against solid tumors.	10.1186/s40164-025-00654-3	41826286	https://pubmed.ncbi.nlm.nih.gov/41826286/	IL-15
engineered_T_cell_support_IL15	104	2	cytokine_engineered_t_cell_support	45	2025	CD70 CAR-T cells empowered by TS-2021 through ex vivo transduction show potent antitumor efficacy against glioblastoma.	10.1038/s41591-020-0821-8	40474210	https://pubmed.ncbi.nlm.nih.gov/40474210/	IL-15
engineered_T_cell_support_IL15	109	2	cytokine_engineered_t_cell_support	45	2022	Interim Phase I Clinical Data of FT576 As Monotherapy and in Combination with Daratumumab in Subjects with Relapsed/Refractory Multiple Myeloma	10.1182/blood-2022-166994		https://doi.org/10.1182/blood-2022-166994	IL-15
